network_id,name
1,ethereum
2,bsc
3,polygon
4,avalanche
5,fantom
6,harmony
7,cronos
8,osmosis
9,aurora
10,moonriver
11,moonbeam
12,metis
13,arbitrum
14,optimism
15,dogechain
16,heco
17,oasisemerald
18,astar
19,evmos
20,milkomeda
21,avalanchedfk
22,xdai
23,velas
24,kcc
25,oec
26,celo
27,sifchain
28,tombchain
29,smartbch
30,arbitrumnova
31,ethereumclassic
32,hsc
33,fuse
34,telos
35,kardiachain
36,iotex
37,wanchain
38,conflux
39,cube
40,boba
41,meter
42,elastos
43,syscoin
44,kava
45,thundercore
46,canto
47,redlightchain
48,godwoken
49,novanetwork
50,echelon
51,ethereum
52,bsc
53,polygon
54,avalanche
55,fantom
56,harmony
57,cronos
58,osmosis
59,aurora
60,moonriver
61,moonbeam
62,metis
63,arbitrum
64,optimism
65,dogechain
66,heco
67,oasisemerald
68,astar
69,evmos
70,milkomeda
71,avalanchedfk
72,xdai
73,velas
74,kcc
75,oec
76,celo
77,sifchain
78,tombchain
79,smartbch
80,arbitrumnova
81,ethereumclassic
82,hsc
83,fuse
84,telos
85,kardiachain
86,iotex
87,wanchain
88,conflux
89,cube
90,boba
91,meter
92,elastos
93,syscoin
94,kava
95,thundercore
96,canto
97,redlightchain
98,godwoken
99,novanetwork
100,echelon
101,ethereum
102,bsc
103,polygon
104,avalanche
105,fantom
106,harmony
107,cronos
108,osmosis
109,aurora
110,moonriver
111,moonbeam
112,metis
113,arbitrum
114,optimism
115,dogechain
116,heco
117,oasisemerald
118,astar
119,evmos
120,milkomeda
121,avalanchedfk
122,xdai
123,velas
124,kcc
125,oec
126,celo
127,sifchain
128,tombchain
129,smartbch
130,arbitrumnova
131,ethereumclassic
132,hsc
133,fuse
134,telos
135,kardiachain
136,iotex
137,wanchain
138,conflux
139,cube
140,boba
141,meter
142,elastos
143,syscoin
144,kava
145,thundercore
146,canto
147,redlightchain
148,godwoken
149,novanetwork
150,echelon
