pair_id,primary_token_id,secondary_token_id,network_id,dex_id,name,address,ranking,price,liquidity,volume,fdv
1,1,2,1,1,DAI/USDC,0x5777d92f208679db4b9778590fa3cab3ac9e2168,1,0,889700000,122600000,6400000000
2,3,4,1,1,WBTC/WETH,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,2,20785,182900000,52300000,5170000000
3,4,2,1,1,WETH/USDC,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3,1622,163800000,114400000,5790000000
4,2,5,1,1,USDC/USDT,0x3416cf6c708da44db2624d63ea0aaef7113527c6,4,0,160800000,146700000,42940000000
5,4,2,1,1,WETH/USDC,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,5,1618,146300000,579000000,5780000000
6,4,2,1,1,WETH/USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,6,1612,108800000,12900000,5750000000
7,4,5,1,1,WETH/USDT,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,7,1621,52700000,31700000,5790000000
8,3,4,1,1,WBTC/WETH,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,8,20818,46700000,85400000,5170000000
9,3,2,1,1,WBTC/USDC,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,9,20834,39700000,20900000,5180000000
10,4,5,1,1,WETH/USDT,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,10,1623,33200000,4099999,5790000000
11,2,5,1,1,USDC/USDT,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,11,1,16600000,5400000,42970000000
12,4,1,1,1,WETH/DAI,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,12,1620,15000000,1600000,5780000000
13,4,5,1,1,WETH/USDT,0x11b815efb8f581194ae79006d24e0d814b7697f6,13,1619,14300000,122900000,5780000000
14,6,2,1,1,HEX/USDC,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,14,0,12700000,4800000,22510000000
15,4,1,1,1,WETH/DAI,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,15,1621,12200000,9200000,5790000000
16,7,4,1,1,LINK/WETH,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,16,7,11000000,5500000,7290000000
17,2,5,1,1,USDC/USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,17,1,10300000,197000,43060000000
18,8,4,1,1,APE/WETH,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,18,5,9600000,13100000,5230000000
19,9,4,1,1,UNI/WETH,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,19,6,8800000,4700000,6200000000
20,4,1,1,1,WETH/DAI,0x60594a405d53811d3bc4766596efd80fd545a270,20,1619,8100000,63700000,5780000000
21,10,4,1,1,LOOKS/WETH,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,21,0,7100000,2900000,188900000
22,11,2,1,1,HDRN/USDC,0xe859041c9c6d70177f83de991b9d757e13cea26e,22,0,2600000,1900000,360700000
23,12,4,1,1,oSQTH/WETH,0x82c427adfdf2d245ec51d8046b41c4ee87f0d29c,23,129,2400000,1700000,6600000
24,13,4,1,1,GLM/WETH,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,24,0,2300000,844000,214500000
25,14,4,1,1,DC/WETH,0x498498fa386ef2860e7abf8c60254580c8c41ec5,25,0,1800000,1000000,13700000
26,15,2,1,1,TSUKA/USDC,0x67cea36eeb36ace126a3ca6e21405258130cf33c,26,0,1700000,820000,81500000
27,16,4,1,1,SHIB/WETH,0x811beed0119b4afce20d2583eb608c6f7af1954f,27,0,1700000,475000,12270000000
28,17,2,1,1,SWEAT/USDC,0xaae63df9a86f9a682507c922db38fae5e777a606,28,0,1600000,10300000,71600000
29,16,4,1,1,SHIB/WETH,0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,29,0,1400000,3200000,12240000000
30,6,4,1,1,HEX/WETH,0x9e0905249ceefffb9605e034b534544684a58be6,30,0,1000000,1200000,22540000000
31,18,4,1,1,GIGA/WETH,0x65b9ad105b95290bcde1ed91f2f6688232ad5782,31,0,1000000,266000,6900000
32,6,4,1,1,HEX/WETH,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,32,0,914000,175000,22640000000
33,19,4,1,1,HRD/WETH,0xeebbce0288149ccaaa839e3e06c5b28ca355c1bf,33,0,601000,846000,8199999
34,20,4,1,1,WUKONG/WETH,0x7a4c910d37620f373c7ba6f27621d4eb90f0946a,34,0,476000,410000,911000
35,21,4,1,1,JOY/WETH,0x0a4ccfdc42013bd01420cc8aa1e34e77ce28c580,35,0,454000,216000,4470000000
36,22,4,1,1,EHIVE/WETH,0xae851769593ac6048d36bc123700649827659a82,36,0,422000,567000,1900000
37,11,2,1,1,HDRN/USDC,0x841bb1966c1d1b80634111691471c667e4c2bfe4,37,0,360000,436000,357600000
38,23,4,1,1,LUNA/WETH,0x16b70f44719b227278a2dc1122e8106cc929ecd1,38,0,303000,1600000,122000000
39,24,4,1,1,REEF/WETH,0x7937619a9bd1234a303e4fe752b8d4f37d40e20c,39,0,290000,648000,52100000
40,25,4,1,1,SUZUME/WETH,0x8340a818fe5b80441c4d96424ddf07867299b135,40,0,286000,256000,3700000
41,26,4,1,1,BONE/WETH,0xf7d31825946e7fd99ef07212d34b9dad84c396b7,41,1,268000,249000,435200000
42,27,4,1,1,MIKOTO/WETH,0x754af604471d7dc3aac2f81f15097a13f93a8dc7,42,0,251000,305000,1700000
43,28,4,1,1,HOICHI/WETH,0x74ac706873c399dfc73a4679b1e1fbf474c306e1,43,0,249000,476000,2300000
44,24,4,1,1,REEF/WETH,0x52414c8b908e9a75c3c8704b2ae5e39ab7156c05,44,0,166000,390000,52200000
45,29,2,1,1,BANKAI/USDC,0xb8cc2148074c8305f3b3405e0f3b2abc3c496771,45,0,141000,489000,662000
46,26,4,1,1,BONE/WETH,0xb011e4eb4111ef00b620a5ed195836dcd69db1ff,46,1,140000,1100000,438700000
47,30,4,1,1,Pacha/WETH,0x4c9831fddbe7520887ec86611cd21b8101e78b36,47,0,135000,205000,1100000
48,31,4,1,1,DRAGON/WETH,0x08b78a8515c648f751e7d8963a02a46040a23adc,48,0,109000,688000,207000
49,23,4,1,1,LUNA/WETH,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,49,0,102000,579000,123900000
50,32,4,1,1,UCHU/WETH,0x65da9db1dd7e53843b6bb7f1c2029ea4ea87e76d,50,0,98000,347000,233000
51,23,4,1,1,LUNA/WETH,0x33f6e97ea6f5dfa6691176b33ad5677e08fb6b38,51,0,97000,534000,4800000
52,33,4,1,1,SUTETORESU/WETH,0xe6412a4208294327132c3eb4944fd993cc066e36,52,0,95000,515000,439000
53,34,4,1,1,GRYPHON/WETH,0x8595df7b15232dd40a91fdb2515fbfa5d77ec812,53,0,94000,4099999,856000
54,17,4,1,1,SWEAT/WETH,0x3796f2e6a8f00d8f397dad77f5a77d60ae829e6b,54,0,74000,965000,71000000
55,11,4,1,1,HDRN/WETH,0x78d4704c65dfd869f7f44d78c3fbbbdb5b412c71,55,0,74000,274000,355900000
56,35,4,1,1,DOGE2.0/WETH,0x3876c54d7b4d56d807a965e01d47a6eb1456731d,56,0,66000,958000,149000
57,36,4,1,1,CAP/WETH,0x807fdaaaa9632071a9d15b4ebeb92e05118645b2,57,0,65000,303000,288000
58,37,4,1,1,HIMIKO/WETH,0x5514d951de3bb5356ec1991a1ecb5e676a92c808,58,0,59000,158000,234000
59,38,4,1,1,PEPEGF/WETH,0xa23431149600ba247ed06d1d223afd894c1ad109,59,0,49000,139000,192000
60,39,4,1,1,UNMEI/WETH,0xc7d9354ca99f62f48c9ed57e4fcc48020827bc16,60,0,47000,140000,132000
61,40,4,1,1,MAXIMUS/WETH,0x9edd713935aa751b4e8467727c1b1b92357b4003,61,0,43000,84000,43000
62,41,4,1,1,WRBT/WETH,0xd71b0f74790fe3bc15acc1125c075c59990c376e,62,0,43000,107000,181000
63,42,4,1,1,LIQUIDITY/WETH,0x68500fdd1aaef80d63d681ffaa52528802b7b4f1,63,0,36000,84000,75000
64,43,4,1,1,SPITZ/WETH,0x1aa813227d4c2a1db9b6c01afad6597e23682d26,64,0,28000,119000,17000
65,44,4,1,1,BUCKS/WETH,0x93c601ccdf04371b4c0377dc357f70f396717497,65,0,26000,38000,23000
66,45,4,1,1,SNDRN/WETH,0x1f1aa347b047e313008c83c4c281a0987ceb8275,66,0,23000,133000,87000
67,46,4,1,1,EATZ/WETH,0x12abff80ea879ba030ac026bcded1b815552f770,67,0,20000,63000,46000
68,47,4,1,1,SHIB2/WETH,0x617653222abd83d80f3deb871b14c684824aa2e9,68,0,18000,357000,15000
69,48,4,1,1,SURU/WETH,0xf929128ab4adb3cb2bc67af0d152186d7cb66db0,69,0,17000,90000,29000
70,49,2,1,1,BIRD/USDC,0x079b975af2952ab95ece46f8a4cfa4b4222c37f9,70,0,17000,88000,91000
71,50,4,1,1,KOYANE/WETH,0xe6ff57cfefaa8baf9891e3faaadef13d536b27e6,71,1,17000,96000,130000
72,51,4,1,1,Maximus Inu/WETH,0x0a77b956f6de5f42cdf8b1fc4aaa9dca25e62e04,72,0,17000,49000,16000
73,52,4,1,1,Miyamoto/WETH,0x9b9fe3ef1e024cf17ed587218a124b15363aef69,73,0,15000,84000,14000
74,53,4,1,1,EMERGE/WETH,0xaa7d90888e5591973c305e36658ef6399acd132b,74,0,15000,47000,22000
75,54,4,1,1,GAGE/WETH,0xacee53f7f51a583d1378fe8252abd1a063e07d12,75,0,15000,75000,25000
76,55,4,1,1,ETH2.0/WETH,0x835b94f20d5858a234f3bd1d36d1597fc09e12a6,76,0,13000,50000,15000
77,56,4,1,1,Dogorai/WETH,0xc9a64e88e828a43164d2e0669d77f286ad4ae74c,77,0,12000,45000,8000
78,57,4,1,1,MASUKETTOJU/WETH,0xec083f8a8f234a225eb21d243b05fa416f76d40a,78,0,11000,111000,19000
79,58,4,1,1,MIKA/WETH,0xec53aeecc8e0333d080207d96f16978febf685de,79,0,11000,365000,18000
80,59,4,1,1,SHIB2.0/WETH,0xb94e853a8f7bbdea227f53403b8098ac577c4ffa,80,0,8800,319000,6100
81,60,4,1,1,Degen Index/WETH,0xe0d3e8a107a3d7719d23c838fc9a93fff68d4ac1,81,0,8700,39000,6000
82,61,4,1,1,PHOENIX/WETH,0xd97802a1fa5fb53fbb974697c87a84e3a6543ced,82,0,8500,29000,5300
83,62,4,1,1,Matrix/WETH,0x116b63a58c1f2ade83bda858b2247eeaa6eb00af,83,0,8300,31000,5100
84,63,4,1,1,FLOKI2/WETH,0x85effe164c3b9a8198879762014e96083aa71be7,84,0,7800,46000,9100
85,64,4,1,1,WIGo/WETH,0x0b04b0bcfe85287b322d138404b4ad218e55f976,85,0,6500,30000,6100
86,65,4,1,1,EXORT/WETH,0x4bdb9ea728c8fa231ccbf65a92face9c7d30c856,86,0,6400,27000,3500
87,66,2,1,1,Musōka/USDC,0x34f12e993729b7fc765aae2802f34f8d8c725bdd,87,0,6200,24000,5400
88,67,4,1,1,Geisha/WETH,0x7fc326a4b329c69ae8cf8f0a3f3f81d6df59f581,88,0,5300,50000,4200
89,68,4,1,1,SHITHIVE/WETH,0x861cf9cecf2633b7790e8ff783187cdd3f1d167d,89,0,5000,49000,3700
90,69,4,1,1,Ghidorah/WETH,0x464f71c654d58902756e06dad95ec5ba95ee3b0c,90,0,4700,25000,3400
91,70,4,1,1,Tsukuyomi/WETH,0x4fd69e06ef551a7af0b4986cd01a10ba533ea982,91,0,4700,239000,3400
92,71,4,1,1,REIGN/WETH,0x204d73ac5dfbe7283f4f3d2b8da6b2041640e687,92,0,4500,170000,3800
93,72,4,1,1,Yasakani/WETH,0xea34e8fb987e62ea79ed04c7b5d88a7802b263af,93,0,4400,63000,3100
94,73,4,1,1,SHIBARI/WETH,0x19c1d3946d3e1b05d7e9d318ce7126ed622ca034,94,0,4300,111000,2100
95,74,4,1,1,JIZO/WETH,0x92fce0e7375d7cb5325be7f144b90fc13d8cdef2,95,0,4200,41000,2800
96,75,4,1,1,HISAOBI/WETH,0xee1c564114995c8d4c0060b9213b413ac05504fe,96,0,4100,26000,2700
97,76,4,1,1,HOSHI/WETH,0xfb5b71dd88dd2ed8fce22d95f60b9453175d8977,97,0,4000,14000,2500
98,77,4,1,1,KARSAMA/WETH,0xe9417a767339c1c0bd03fc73d5068a62bd97ec7f,98,0,3400,19000,1900
99,78,4,1,1,MATHIUS/WETH,0xd66d5a43ef8f2cc345d59beefc1f755f70f04b1c,99,0,1,11000,6300
100,79,4,1,1,FLY/WETH,0xf9b1c4f83e332592f1db93c222769c3df2a08be6,100,0,1,118000,36000
101,80,81,1,9,TEMPLE/FRAX,0x6021444f1706f15465bee85463bcc7d7cc17fc03,1,0,23100000,413000,213700000
102,4,1,1,8,WETH/DAI,0x7515be43d16f871588adc135d58a9c30a71eb34f,1,1614,772000,51000,5760000000
103,82,4,1,8,DXD/WETH,0xb0dc4b36e0b4d2e3566d2328f6806ea0b76b4f13,2,384,132000,3400,57300000
104,4,5,1,8,WETH/USDT,0x83dd8227c5ef121f2ae99c6f1df0aa9e914448ce,3,1678,88,2,5990000000
105,4,2,1,8,WETH/USDC,0x98f29f527c8e0ecc67a3c2d5567833bee01f2a12,4,1667,51,6,5950000000
106,83,2,1,6,GST/USDC,0x770cbfff3c47134a878d513921ac59a1fd24e514,1,0,2000000,29000,6500000
107,4,2,1,6,WETH/USDC,0x9c2dc3d5ffcecf61312c5f4c00660695b32fb3d1,2,1620,1600000,63000,5780000000
108,84,2,1,6,GMT/USDC,0xaeaca8c32039a466fb32bde6f566130a1f49d21e,3,0,1000000,25000,40400000
109,85,4,1,7,pSAFEMOON/WETH,0xf354937b3eac3ade2c103e0dace91dc20d042ccb,1,0,530000,247,1500000
110,4,2,1,7,WETH/USDC,0xc03a8c8b7a1e63197c84bf4817ce599f680a5f20,2,1616,127000,5200,5770000000
111,16,4,1,7,SHIB/WETH,0x35cdd6acbe6b0753f3305c295d673e342a2e819f,3,0,68000,842,12050000000
112,4,5,1,7,WETH/USDT,0x500e49536b5be1d1ead8d0a16c51495f1bb11b3c,4,1663,13000,525,5940000000
113,86,87,1,10,BUILD/LGCY,0xea061ac407dba0c0b754baba7914689eab0a8c11,1,0,107000,1300,17100000
114,88,4,1,10,RADIO/WETH,0x2a79a0e0c226a58eeb99c5704d72d49177cc7516,2,0,30000,7100,12800000
115,88,2,1,10,RADIO/USDC,0xc19c5b63705807079dbf6d54071f9113233283f5,3,0,26000,513,13300000
116,86,88,1,10,BUILD/RADIO,0x44b5d8d7c0a93fe769a30d92b9a1e5500b3e9897,4,0,0,0,0
117,89,86,1,10,LAUNCH/BUILD,0x2f5f31ffe8734137fc02a20a908440ba34cab153,5,0,0,0,0
118,89,90,1,10,LAUNCH/MBT,0x8b453b84f4307fbb462baf8bdbdba67418ae3f8d,6,0,0,0,0
119,91,88,1,10,USV/RADIO,0x24131830cafc7fbc524e022d4f238271062b85e1,7,0,0,100,0
120,92,88,1,10,SPWN/RADIO,0x2959501164a828050a4a219c210f661b081f9c70,8,3,0,1324,0
121,93,88,1,10,SHACK/RADIO,0x652960fc3e2faa494d9c84e62f0901a86a528fb8,9,0,0,0,0
122,94,88,1,10,iUSDS/RADIO,0x688a82f0957b808d4ae03d6d7f39d8b90b1043a3,10,0,0,100,0
123,95,88,1,10,SPICE/RADIO,0x994f5acb01f70a1997eb649dd90b0c8bc9498c8d,11,4,0,0,0
124,86,93,1,10,BUILD/SHACK,0xcf5b979734c93a14c4f64a940c34340068d2cdfe,12,535,0,0,0
125,4,5,1,5,WETH/USDT,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,1,1621,6800000,518000,5790000000
126,4,2,1,5,WETH/USDC,0x3aa370aacf4cb08c7e1e7aa8e8ff9418d73c7e0f,2,1619,4900000,372000,5780000000
127,96,4,1,5,CRO/WETH,0x9ef7e917fb41cc02f78a5c99b42f497ed8979350,3,0,3500000,94000,2590000000
128,4,1,1,5,WETH/DAI,0x60a26d69263ef43e9a68964ba141263f19d71d51,4,1617,2100000,568000,5770000000
129,96,5,1,5,CRO/USDT,0x4087d0e6e513f260de87408bee9334a5742cfdf4,5,0,1000000,40000,2570000000
130,7,4,1,5,LINK/WETH,0x8b59be2fc6fccc2256cc4841843a13ce29da16bd,6,7,835000,15000,7260000000
131,96,2,1,5,CRO/USDC,0x35e8777ec43cb99e935588dcd0305268f06c1274,7,0,805000,64000,2570000000
132,97,4,1,5,COMP/WETH,0x59f7a66a2fbcaf203cee71359b51142238f85b78,8,52,569000,20000,525799999
